Contractor,Contract_Number,Effective_Date,Contract Line Item Number (CLIN),UNSPSC Code (Version 11),ManufacturerPartNumber,Manufacturer,SKU_Item_num,Item_Name,Item_Description,Unit_of_Measure,Quantity_in_Unit_of_Measure,List_Price_MSRP,Contract_Unit_Price,Contract_Discount,Front_End_Category,Category,SubCategory,NewImageName,AmazonProductID,IS DUPLICATE,defaultImageId
TIG,1-13-70-02B,11/4/2016,400d,43211500,210-AFXM,DELL,210-AFXM,Dell Mobile Precision 7510,"Mobile Workstation - Dell Mobile Precision 7510 - i7-6820HQ 2.7GHz Quad Core, 16GB DDR4 2133MHz 2DIMMS, Windows 10 Pro 64-bit (Windows 7 Compatible), 500GB SATA II 7200RPM, AMD FirePro™ W5170M w/2GB GDDR5, 15.6"" HD Widescreen, Integrated Wireless, Bluetooth. 6-cell battery. 3-Year NBD Onsite Warranty",EACH,1,2230.06,1003.53,0.55,Desktop,Mobile Workstation Configuration-,Mobile Workstation Config,6520,B01H076MAM,,6520
TIG,1-13-70-05,10/24/2016,103b,43211900,"210-AIIC, 806-2763",DELL,"210-AIIC, 806-2763","DELL P2217 22"" Widescreen Monitor","P2217 22"" Widescreen Monitor",EACH,1,219.99,149.59,0.32,Accessories,CONFIGURATION (HARDWARE),22 inch Widescreen MONITOR,6526,B01FGCJAF2,,6526
TIG,1-13-70-05,10/24/2016,100c,43211900,"210-AIIJ , 806-2763",DELL,"210-AIIJ , 806-2763","DELL P1917s 19"" Standard Monitor","P1917s 19"" Standard Monitor",EACH,1,249.99,169.99,0.32,Accessories,CONFIGURATION (HARDWARE),19 inch Standard MONITOR,6515,B01G3459GG,,6515
TIG,1-13-70-05,10/24/2016,104c,43211900,"320-9794, 806-2763",DELL,"210-AIIM, 806-2763","DELL P2417H 24"" Widescreen Monitor","P2417H 24"" Widescreen Monitor",EACH,1,299.99,203.99,0.32,Accessories,CONFIGURATION (HARDWARE),24 inch Widescreen MONITOR,6530,B01FGCJE26,,6530
TIG,1-13-70-05,10/24/2016,106d,43211900,"210-AJGT, 810-6396",DELL,"210-AJGT, 810-6396","DELL UP3017 30"" Widescreen Monitor","UP3017 30"" Widescreen Monitor",EACH,1,1399.99,951.99,0.32,Accessories,CONFIGURATION (HARDWARE),30 inch Widescreen MONITOR,6613,B01HQNTAMW,,6613
TIG,1-13-70-01B,5/5/2016,1019c,,370-ACMQ,DELL,370-ACMQ,16GB (2x8GB) 1600MHz DDR3L Memory (5040),16GB (2x8GB) 1600MHz DDR3L Memory (5040),EACH,1,260,176.8,0.32,Components,OPTION UPGRADES,Power Desktop Options Upgrades,6611,B01DR2SX9C,,6611
TIG,1-13-70-01B,5/5/2016,1088,,370-ACHW,DELL,370-ACHW,16GB (2x8G) 2133MHz DDR4 Memory (7440 AIO),16GB (2x8G) 2133MHz DDR4 Memory (7440 AIO),EACH,1,260,176.8,0.32,Components,OPTION UPGRADES,All In One Options Upgrades,6611,B01COKL3F4,,6611
TIG,1-13-70-01B,5/5/2016,1013a,,313-7362,DELL,313-7362,"AX210 USB Stereo Speakers WW, I/S/X DT C","AX210 USB Stereo Speakers WW, I/S/X DT C",EACH,1,19.99,13.59,0.32,Accessories,OPTION UPGRADES,Standard Desktop Options Upgrades,6612,B009NGI3J2,,6612
TIG,1-13-70-05,10/24/2016,202,81110000,318-2885,DELL,318-2885,Dell USB Monitor Soundbar AC511,Dell USB Monitor Soundbar AC511,EACH,1,34.99,24.14,0.31,Accessories,OPTIONS UPGRADES,Options Upgrades,6610,B00DEJXRAE,,6610
TIG,1-13-70-01B,5/5/2016,1802a,,320-9704,DELL,320-9704,"P2213 22"" Widescreen Monitor","P2213 22"" Widescreen Monitor",EACH,1,219.99,149.59,0.32,Accessories,MONITOR OPTION UPGRADES,Monitor Options Upgrades,6609,B008OZSNAC,,6609
TIG,1-13-70-01B,5/5/2016,1803c,,320-9794,DELL,320-9794,"P2414H 24"" Widescreen  Monitor","P2414H 24"" Widescreen  Monitor",EACH,1,299.99,204,0.32,Accessories,MONITOR OPTION UPGRADES,Monitor Options Upgrades,6608,B00EMB4KVI,,6608
TIG,1-13-70-01B,5/5/2016,1085,,325-BBQT,DELL,325-BBQT,"Secure Cable Cover, SFF","Secure Cable Cover, SFF",EACH,1,25.33,17.22,0.32,Accessories,OPTION UPGRADES,Power Desktop Options Upgrades,6607,N/A,,6607
TIG,1-13-70-01B,5/5/2016,1086,,325-BBTM,DELL,325-BBTM,"Secure Cable Cover, MT","Secure Cable Cover, MT",EACH,1,28.57,19.43,0.32,Accessories,OPTION UPGRADES,Power Desktop Options Upgrades,6605,N/A,,6605
TIG,1-13-70-02B,11/4/2016,1026,43211500,330-9456,DELL,330-9456,USB optical mouse,Add USB optical mouse,EACH,1,19.99,12.99,0.35,Peripherals,Options/Upgrades,Options/Upgrades All Laptops,6600,B003UQQO4W,,6600
TIG,1-13-70-02B,11/4/2016,1033a,43211500,331-6304,DELL,331-6304,"Docking Station with A/C adapter, supports laptop recharging","Docking Station with A/C adapter, supports laptop recharging",EACH,1,219.99,142.99,0.35,Accessories,Options/Upgrades,Options/Upgrades Mobile Workstation,6601,B00N9AHLBE,,6601
TIG,1-13-70-02B,11/4/2016,1044b,43211500,331-6307,DELL,331-6307,Dell E-Port Replicator Docking Station with USB 3.0,Dell E-Port Replicator Docking Station with USB 3.0,EACH,1,169,109.85,0.35,Accessories,Options/Upgrades,"Options/Upgrades Standard, Power and Ultralight Laptop",6589,B00N9AHLBE,,6589
TIG,1-13-70-02B,11/4/2016,1071a,43211500,331-9053,DELL,331-9053,DELL AC Adapter,DELL AC Adapter,EACH,1,139.99,90.99,0.35,Accessories,Options/Upgrades,Options/Upgrades All Laptops,6590,B01BD2JXRY,,6590
TIG,1-13-70-02B,11/4/2016,1027a,43211500,331-9653,DELL,331-9653,USB keyboard,Add USB keyboard,EACH,1,29.99,19.49,0.35,Peripherals,Options/Upgrades,Options/Upgrades All Laptops,6597,B00APNV312,,6597
TIG,1-13-70-05,10/24/2016,203,81110000,332-1235,DELL,332-1235,Dell MSA14 Single Monitor Arm Stand,Dell MSA14 Single Monitor Arm Stand,EACH,1,129.99,89.69,0.31,Accessories,OPTIONS UPGRADES,Options Upgrades,6592,B00C6CMZVC,,6592
TIG,1-13-70-01B,5/5/2016,1062a,,332-1236,DELL,332-1236,Dell Dual Monitor Stand,Dell Dual Monitor Stand,EACH,1,169.99,115.59,0.32,Accessories,OPTION UPGRADES,Micro Desktop Options,6604,B00DXYRKLW,,6604
TIG,1-13-70-02B,11/4/2016,1075,43211500,332-2270,DELL,332-2270,Dell Adapter Mini Displayport to VGA,Dell Adapter Mini Displayport to VGA,EACH,1,34.99,22.74,0.35,Accessories,Options/Upgrades,Options/Upgrades All Laptops,6603,B00GK5Z1E4,,6603
TIG,1-13-70-02B,11/4/2016,1108,43211500,338-BHRI,DELL,338-BHRI,Smart card Thunderbolt,Smart card Thunderbolt,,1,42.86,27.86,0.35,Accessories,Options/Upgrades,Options/Upgrades Mobile Workstation,6606,B01C8PHWQY,,6606
TIG,1-13-70-01B,5/5/2016,1078,,338-BHUF,DELL,338-BHUF,"Intel® Core™ i5-6500 Processor (Quad Core, 6MB, 4T, 3.2GHz, 65W)","Intel® Core™ i5-6500 Processor (Quad Core, 6MB, 4T, 3.2GHz, 65W)",EACH,1,205,139.4,0.32,Components,OPTION UPGRADES,Power Desktop Options Upgrades,6593,B010T6CWI2,,6593
TIG,1-13-70-01B,5/5/2016,1079,,338-BHUS,DELL,338-BHUS,"Intel® Core™ i5-6500T Processor (Quad Core, 6MB, 4T, 2.5GHz, 35W) (7040 Micro)","Intel® Core™ i5-6500T Processor (Quad Core, 6MB, 4T, 2.5GHz, 35W) (7040 Micro)",EACH,1,205,139.4,0.32,Components,OPTION UPGRADES,Power Desktop Options Upgrades,6593,B01BH4XX74,,6593
TIG,1-13-70-02B,11/4/2016,1098,43211500,379-BCFX,DELL,379-BCFX,"Intel® Core™ i5-6300U (Dual Core, 2.4GHz, 3M cache, 15W)","Intel® Core™ i5-6300U (Dual Core, 2.4GHz, 3M cache, 15W)",,1,220,143,0.35,Components,Options/Upgrades,Options/Upgrades Ultralight Laptop,6593,B004OXOGBI,,6593
TIG,1-13-70-01B,5/5/2016,1049c,,338-BHUG,DELL,338-BHUG,"Intel® Core™ i5-6600 Processor (Quad Core, 6MB, 4T, 3.3GHz, 65W)","Intel® Core™ i5-6600 Processor (Quad Core, 6MB, 4T, 3.3GHz, 65W)",EACH,1,235,159.8,0.32,Components,OPTION UPGRADES,All In One Options Upgrades,6596,B0136JONRM,,6596
TIG,1-13-70-01B,5/5/2016,1050c,,338-BHUH,DELL,338-BHUH,"Intel® Core™ i7-6700 Processor (Quad Core, 8MB, 8T, 3.4GHz, 65W)","Intel® Core™ i7-6700 Processor (Quad Core, 8MB, 8T, 3.4GHz, 65W)",EACH,1,340,231.2,0.32,Components,OPTION UPGRADES,All In One Options Upgrades,6602,B01D4C7Z9Y,,6602
TIG,1-13-70-01B,5/5/2016,1065,,338-BHUU,DELL,338-BHUU,"Intel® Core™ i7-6700T Processor (Quad Core, 8MB, 8T, 2.8GHz, 35W)(3040MFF)","Intel® Core™ i7-6700T Processor (Quad Core, 8MB, 8T, 2.8GHz, 35W)(3040MFF)",EACH,1,340,231.2,0.32,Components,OPTION UPGRADES,Micro Standard Desktop Upgrades,6594,B01AASS99U,,6594
TIG,1-13-70-01B,5/5/2016,1069,,338-BHUH,DELL,338-BHUH,"Intel® Core™ i7-6700 Processor (Quad Core, 8MB, 8T, 3.4GHz, 65W)","Intel® Core™ i7-6700 Processor (Quad Core, 8MB, 8T, 3.4GHz, 65W)",EACH,1,340,231.2,0.32,Components,OPTION UPGRADES,Standard Desktop Options Upgrades,6594,B012M8LXQW,,6594
TIG,1-13-70-02B,11/4/2016,1012c,43211500,346-BBPV,DELL,346-BBPV,Fingerprint Reader/Smartcard Reader,Fingerprint Reader/Smartcard Reader,EACH,1,30,19.5,0.35,Components,Options/Upgrades,Options/Upgrades Ultralight Laptop,6599,B0177O5XNA,,6599
TIG,1-13-70-02B,11/4/2016,1074a,43211500,346-BBRJ,DELL,346-BBRJ,Dual Pointing palmrest With Smart Card and Fingerprint Reader,Dual Pointing palmrest With Smart Card and Fingerprint Reader,EACH,1,30,19.5,0.35,Accessories,Options/Upgrades,Options/Upgrades Standard Laptop,6599,B00WIP2T6S,,6599
TIG,1-13-70-02B,11/4/2016,1094,43211500,346-BBUY,DELL,346-BBUY,"Smart Card, Contactless Smart Card and Fingerprint Reader for 82 Key, Dual Point Keyboard","Smart Card, Contactless Smart Card and Fingerprint Reader for 82 Key, Dual Point Keyboard",,1,30,19.5,0.35,Accessories,Options/Upgrades,Options/Upgrades Ultralight Laptop,6595,B004KKOQ3I,,6595
TIG,1-13-70-02B,11/4/2016,1056b,43211500,"365-0521, 374-4751",DELL,"365-0521, 374-4751",Kensington Combination Lock,Kensington Combination Lock,EACH,1,39.85,25.9,0.35,Accessories,Options/Upgrades,Options/Upgrades All Laptops,6591,B005J7Y99W,,6591
TIG,1-13-70-01B,5/5/2016,3008,,"365-1245, 365-1401 ",DELL,"365-1245, 365-1401",Absolute Computrace Complete 3YR License,Absolute Computrace Complete 3YR License,EACH,1,174.95,134.71,0.23,Services,VALUE ADDED SERVICES,VAS Standard Desktop,6598,B00ECFF9TG,,6598
TIG,1-13-70-01B,5/5/2016,1067,,370-AAML,DELL,370-AAML,8GB (2x4GB) 1600MHz DDR3L Memory(3040MFF),8GB (2x4GB) 1600MHz DDR3L Memory(3040MFF),EACH,1,130,88.4,0.32,Components,OPTION UPGRADES,Micro Standard Desktop Upgrades,6588,B00I3FJ3J8,,6588
TIG,1-13-70-01B,5/5/2016,1033b,,370-ABUP,DELL,370-ABUP,32GB (4x8GB) 1866MHz DDR3 ECC RDIMM,32GB (4x8GB) 1866MHz DDR3 ECC RDIMM,EACH,1,1040,707.2,0.32,Components,OPTION UPGRADES,Workstation Options Upgrades,6585,B00GEC4GFI,,6585
TIG,1-13-70-01B,5/5/2016,1051c,,370-ACHX,DELL,370-ACHX,8GB (2x4G) 2133MHz DDR4 Memory,8GB (2x4G) 2133MHz DDR4 Memory,EACH,1,130,88.4,0.32,Components,OPTION UPGRADES,All In One Options Upgrades,6585,B00SYPTXG0,,6585
TIG,1-13-70-01B,5/5/2016,1066,,370-AAMU,DELL,370-AAMU,16GB (2x8GB) 1600MHz DDR3 Non-ECC(3040MFF),16GB (2x8GB) 1600MHz DDR3 Non-ECC(3040MFF),EACH,1,260,176.8,0.32,Components,OPTION UPGRADES,Micro Standard Desktop Upgrades,6585,B00B2ATGC0,,6585
TIG,1-13-70-02B,11/4/2016,1018b,43211500,370-ACEB,DELL,370-ACEB,"16GB (Total 32.0GB), DDR4-2133MHz SDRAM, 4 DIMMS","Add 16GB (Total 32.0GB), DDR4-2133MHz SDRAM, 4 DIMMS",EACH,1,588.57,382.57,0.35,Components,Options/Upgrades,Options/Upgrades Mobile Workstation,6585,B013GZ5PD2,,6585
TIG,1-13-70-02B,11/4/2016,1022a,43211500,370-ACDF,DELL,370-ACDF,"8GB (16GB Total), DDR4,2133MHZ","Add 8GB (16GB Total), DDR4,2133MHZ",EACH,1,330,214.5,0.35,Components,Options/Upgrades,Options/Upgrades Power Laptop,6585,B00MMLUYVU,,6585
TIG,1-13-70-02B,11/4/2016,1106,43211500,370-ACSV,DELL,370-ACSV,"32GB (2x16GB) 2133MHz DDR4 SDRAM, Non-ECC","32GB (2x16GB) 2133MHz DDR4 SDRAM, Non-ECC",,1,588.57,382.57,0.35,Components,Options/Upgrades,Options/Upgrades Mobile Workstation,6585,B00TP5QYRE,,6585
TIG,1-13-70-01B,5/5/2016,1002c,,370-ACLY,DELL,370-ACLY,8GB (1x8GB) 1600MHz DDR3L Memory,8GB (1x8GB) 1600MHz DDR3L Memory,EACH,1,130,88.4,0.32,Components,OPTION UPGRADES,"Standard Desktop Options
Upgrades",6586,B00S44NL46,,6586
TIG,1-13-70-02B,11/4/2016,1009c,43211500,"379-BCFY, 391-BCDQ",DELL,"379-BCFY, 391-BCDQ","Intel® Core™ i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W) vPro","Intel® Core™ i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W) vPro",EACH,1,500,325,0.35,Components,Options/Upgrades,Options/Upgrades Power Laptop,6587,B0136JONG8,,6587
TIG,1-13-70-02B,11/4/2016,1017c,43211500,338-BIFC,DELL,338-BIFC,"Intel® Core™ i7-6920HQ (Quad Core 2.90GHz, 3.80GHz Turbo, 8MB 45W, w/Intel HD Graphics 530)","Intel® Core™ i7-6920HQ (Quad Core 2.90GHz, 3.80GHz Turbo, 8MB 45W, w/Intel HD Graphics 530)",EACH,1,741.43,481.93,0.35,Components,Options/Upgrades,Options/Upgrades Mobile Workstation,6587,B01FJLA8NI,,6587
TIG,1-13-70-02B,11/4/2016,1090,43211500,379-BCGD,DELL,379-BCGD,"I7-6820HQ Intel® Core™ i7-6820HQ (Quad Core, 2.7GHz, 8M cache,","I7-6820HQ Intel® Core™ i7-6820HQ (Quad Core, 2.7GHz, 8M cache,",,1,460,299,0.35,Components,Options/Upgrades,Options/Upgrades Standard Laptop,6587,B01FJLAITC,,6587
TIG,1-13-70-01B,5/5/2016,1064a,,382-BBDP,DELL,382-BBDP,2nd Display Port (Only 7040 Micro),2nd Display Port (Only 7040 Micro),EACH,1,13,8.84,0.32,Accessories,OPTION UPGRADES,Micro Desktop Options,6583,B01LAYVT0O,,6583
TIG,1-13-70-02B,11/4/2016,1014b,43211500,"319-BBDT, 320-BBQV, 391- BCFG",DELL,"319-BBDT, 320-BBQV, 391- BCFG",Integrated Microphone,Add Integrated Microphone,EACH,1,212.86,138.36,0.35,Components,Options/Upgrades,Options/Upgrades Mobile Workstation,6584,B00UZY2YQE,,6584
TIG,1-13-70-02B,11/4/2016,1023b,43211500,391-BCFM,DELL,391-BCFM,Integrated Webcam,Add Integrated Webcam,EACH,1,30,19.5,0.35,Components,Options/Upgrades,Options/Upgrades Ultralight Laptop,6584,B008ZVRAQS,,6584
TIG,1-13-70-02B,11/4/2016,1059b,43211500,391-BCDN,DELL,391-BCDN,"14"" Touch FHD LCD with camera, WWAN","14"" Touch FHD LCD with camera, WWAN",EACH,1,280,182,0.35,Accessories,Options/Upgrades,Options/Upgrades Standard Laptop,6584,B01N79L60C,,6584
TIG,1-13-70-02B,11/4/2016,1060b,43211500,"391-BCEV, 451-BBPK",DELL,"391-BCEV, 451-BBPK","12.5” FHD Touch with Corning® Gorilla® Glass NBT (1920 x 10800) LCD with camera, WIGI","12.5” FHD Touch with Corning® Gorilla® Glass NBT (1920 x 10800) LCD with camera, WIGI",EACH,1,379,246.35,0.35,Accessories,Options/Upgrades,Options/Upgrades Ultralight Laptop,6584,B017XPPB3K,,6584
TIG,1-13-70-02B,11/4/2016,1063a,43211500,391-BCDH,DELL,391-BCDH,"15"" Touch FHD LCD with Camera, WIGI","15"" Touch FHD LCD with Camera, WIGI",EACH,1,280,182,0.35,Accessories,Options/Upgrades,Options/Upgrades Standard Laptop,6584,B01M161UFE,,6584
TIG,1-13-70-02B,11/4/2016,1064a,43211500,391-BCFN,DELL,391-BCFN,"14"" Touch FHD LCD with Camera, WIGI","14"" Touch FHD LCD with Camera, WIGI",EACH,1,480,312,0.35,Accessories,Options/Upgrades,Options/Upgrades Ultralight Laptop,6584,B01MFBI37V,,6584
TIG,1-13-70-02B,11/4/2016,1088,43211500,391-BCDL,DELL,391-BCDL,"15.6"" FHD (1920 x 1080) Anti Glare LCD, Camera and Microphone, WWAN Capable","15.6"" FHD (1920 x 1080) Anti Glare LCD, Camera and Microphone, WWAN Capable",,1,110,71.5,0.35,Accessories,Options/Upgrades,Options/Upgrades Standard Laptop,6584,B01N0K3246,,6584
TIG,1-13-70-02B,11/4/2016,1092,43211500,391-BCFO,DELL,391-BCFO,"14.0” FHD (1920 x 1080) Anti Glare LCD, Camera and Mic, WLAN/WWAN Capable","14.0” FHD (1920 x 1080) Anti Glare LCD, Camera and Mic, WLAN/WWAN Capable",,1,110,71.5,0.35,Accessories,Options/Upgrades,Options/Upgrades Ultralight Laptop,6584,B01FT82PDM,,6584
TIG,1-13-70-02B,11/4/2016,1097,43211500,391-BCFB,DELL,391-BCFB,"12.5” FHD (1920 x 1080) Anti Glare LCD with Camera and mic, WLAN","12.5” FHD (1920 x 1080) Anti Glare LCD with Camera and mic, WLAN",,1,110,71.5,0.35,Accessories,Options/Upgrades,Options/Upgrades Ultralight Laptop,6584,B01MRIXMZX,,6584
TIG,1-13-70-02B,11/4/2016,1105,43211500,"319-BBDS, 320-BBQV, 391 BCFF",DELL,"319-BBDS, 320-BBQV, 391 BCFF","15.6"" UltraSharp™ FHD IPS (1920x1080) Wide View Anti-Glare LED-b","15.6"" UltraSharp™ FHD IPS (1920x1080) Wide View Anti-Glare LED-b",,1,270,175.5,0.35,Accessories,Options/Upgrades,Options/Upgrades Mobile Workstation,6584,B000HR74JG,,6584
TIG,1-13-70-01B,5/5/2016,1035b,,400-AETZ,DELL,400-AETZ,900GB 2.5inch SAS (10.000 Rpm) Hard Drive,900GB 2.5inch SAS (10.000 Rpm) Hard Drive,EACH,1,370.33,251.82,0.32,Components,OPTION UPGRADES,Workstation Options Upgrades,6580,B009DJ98X4,,6580
TIG,1-13-70-02B,11/4/2016,1078a,43211500,400-AHHX,DELL,400-AHHX,128GB SSD,128GB SSD,EACH,1,180,117,0.35,Components,Options/Upgrades,Standard and Power Laptops,6582,N/A,,6582
